       star04ij    272.863708    -17.837167   11   3   0.020   0.009   8.420   0.027   0.017   12   6   0.019   0.005  15.711   0.136   0.050
       star05ij    272.947583    -19.487639   19   2   0.014   0.000   9.313   0.016   0.029    0   0   0.000   0.000   0.000   0.000   0.000
       star06ij    273.314917    -18.022917   13   4   0.015   0.006   8.026   0.039   0.022    9   5   0.012   0.003  15.297   0.131   0.039
       star07ij    273.347417    -18.971806   12   8   0.023   0.009   8.874   0.038   0.034    9   5   0.026   0.006  14.988   0.049   0.032
       star09ij    273.454583    -18.775917   13   2   0.012   0.000   8.259   0.035   0.029   12  10   0.026   0.006  15.387   0.163   0.044
       star10ij    273.528417    -19.105639   12   6   0.022   0.003   7.799   0.039   0.017   11  10   0.030   0.013  14.993   0.126   0.044
       star11ij    273.691125    -17.631944   13   6   0.015   0.003   9.823   0.042   0.018    0   0   0.000   0.000   0.000   0.000   0.000
       star16ij    273.921292    -16.779361   13   5   0.025   0.010   7.956   0.044   0.020   10   9   0.030   0.010  14.508   0.097   0.029
       star17ij    273.992875    -16.974389   34   5   0.027   0.013   9.209   0.034   0.028    0   0   0.000   0.000   0.000   0.000   0.000
       star20ij    274.316625    -14.098139   12   4   0.024   0.009   7.362   0.021   0.019   11   5   0.018   0.007  13.226   0.051   0.014
       star21ij    274.369583    -16.627806   14   2   0.020   0.000   8.495   0.026   0.030    9   8   0.026   0.011  15.860   0.090   0.049
       star22ij    274.423417    -13.941083    7   3   0.023   0.007   7.682   0.029   0.018   10   9   0.026   0.009  14.295   0.124   0.027
       star23ij    274.467125    -17.252306   13   5   0.022   0.003  10.297   0.021   0.031    0   0   0.000   0.000   0.000   0.000   0.000
       star25ij    274.685375    -16.852472   12   1   0.000   0.000  11.300   0.019   0.025    0   0   0.000   0.000   0.000   0.000   0.000
       star26ij    274.694208    -16.582472   14   1   0.002   0.000   9.156   0.027   0.021    0   0   0.000   0.000   0.000   0.000   0.000
       star33ij    275.278667    -15.061083   14   1   0.000   0.000   8.100   0.045   0.027   12  12   0.023   0.010  15.371   0.115   0.043
       star34ij    275.285417    -15.535833   11   4   0.018   0.007   8.352   0.037   0.017   10   5   0.035   0.009  15.100   0.155   0.035
       star35ij    275.351250    -13.924500   12   9   0.030   0.011   7.521   0.027   0.019   11   7   0.030   0.007  13.581   0.107   0.018
       star37ij    275.767167    -13.904444    9   5   0.029   0.009   7.700   0.022   0.024    9   5   0.031   0.015  13.763   0.027   0.020
